TransactionID,Items
T001,"Laptop,Mouse,Keyboard,USB_Cable"
T002,"Monitor,HDMI_Cable"
T003,"Headphones,USB_Cable"
T004,"External_HDD,USB_Cable,Webcam"
T005,"Router,HDMI_Cable,SSD"
T006,"Laptop,Mouse,Keyboard,Monitor,Router,RAM"
T007,"RAM,SSD,Router"
T008,"Graphics_Card,Monitor,Phone_Charger"
T009,"Webcam,Microphone,Headphones"
T010,"Phone_Charger,USB_Cable,HDMI_Cable"
T011,"Laptop,Mouse,Keyboard,Headphones,USB_Cable,Webcam"
T012,"Monitor,HDMI_Cable,External_HDD,Phone_Charger"
T013,"Headphones,USB_Cable,Router,RAM,SSD"
T014,"External_HDD,USB_Cable,Router"
T015,"Router,HDMI_Cable"
T016,"Laptop,Mouse,Keyboard,Monitor"
T017,"RAM,SSD,HDMI_Cable,Router"
T018,"Graphics_Card,Monitor,Webcam,External_HDD,Phone_Charger"
T019,"Webcam,Microphone,Headphones,External_HDD"
T020,"Phone_Charger,USB_Cable"
T021,"Laptop,Mouse,Keyboard,Phone_Charger,HDMI_Cable,Router"
T022,"Monitor,HDMI_Cable,Graphics_Card,Microphone"
T023,"Headphones,USB_Cable"
T024,"External_HDD,USB_Cable,HDMI_Cable,Router,RAM"
T025,"Router,HDMI_Cable"
