TransactionID,Items
T001,"TV,Soundbar,HDMI_Cable,Power_Bank"
T002,"Gaming_Console,Controller,TV"
T003,"Smart_Watch,Phone_Case,Tablet"
T004,"Tablet,Screen_Protector,Phone_Case,Drone,Camera"
T005,"Earbuds,Phone_Case,Controller,Smart_Watch,Tablet"
T006,"Camera,Tripod,Memory_Card,Controller,Smart_Watch"
T007,"Bluetooth_Speaker,Power_Bank"
T008,"Drone,Memory_Card,Soundbar"
T009,"Controller,Gaming_Console,Earbuds,Phone_Case"
T010,"Smart_Watch,Earbuds"
T011,"TV,Soundbar,HDMI_Cable,Bluetooth_Speaker"
T012,"Gaming_Console,Controller,TV,Smart_Watch,Tablet"
T013,"Smart_Watch,Phone_Case"
T014,"Tablet,Screen_Protector,Phone_Case,Power_Bank,Bluetooth_Speaker,Drone"
T015,"Earbuds,Phone_Case,Screen_Protector"
T016,"Camera,Tripod,Memory_Card"
T017,"Bluetooth_Speaker,Power_Bank"
T018,"Drone,Memory_Card,Camera,Tripod"
T019,"Controller,Gaming_Console,Soundbar"
T020,"Smart_Watch,Earbuds,Bluetooth_Speaker,Drone,Camera"
T021,"TV,Soundbar,HDMI_Cable"
T022,"Gaming_Console,Controller,TV,Bluetooth_Speaker,Drone,Camera"
T023,"Smart_Watch,Phone_Case,Gaming_Console,Controller"
T024,"Tablet,Screen_Protector,Phone_Case,Soundbar,Gaming_Console,Controller"
T025,"Earbuds,Phone_Case"
