TransactionID,Items
T001,"Paper_Towels,Toilet_Paper"
T002,"Detergent,Dish_Soap,Snacks_Box"
T003,"Shampoo,Toothpaste,Water_Bottles,Snacks_Box,Frozen_Pizza"
T004,"Trash_Bags,Batteries,Muffins,Nuts_Pack,Paper_Towels"
T005,"Light_Bulbs,Batteries,Rotisserie_Chicken,Muffins"
T006,"Water_Bottles,Snacks_Box"
T007,"Frozen_Pizza,Snacks_Box,Dish_Soap"
T008,"Rotisserie_Chicken,Muffins,Detergent,Dish_Soap"
T009,"Nuts_Pack,Water_Bottles"
T010,"Paper_Towels,Toilet_Paper,Detergent,Toothpaste,Trash_Bags,Batteries"
T011,"Paper_Towels,Toilet_Paper,Detergent"
T012,"Detergent,Dish_Soap"
T013,"Shampoo,Toothpaste"
T014,"Trash_Bags,Batteries"
T015,"Light_Bulbs,Batteries,Snacks_Box,Frozen_Pizza"
T016,"Water_Bottles,Snacks_Box,Frozen_Pizza,Rotisserie_Chicken"
T017,"Frozen_Pizza,Snacks_Box,Toilet_Paper,Detergent"
T018,"Rotisserie_Chicken,Muffins,Snacks_Box,Frozen_Pizza"
T019,"Nuts_Pack,Water_Bottles,Frozen_Pizza,Rotisserie_Chicken"
T020,"Paper_Towels,Toilet_Paper,Detergent"
T021,"Paper_Towels,Toilet_Paper,Trash_Bags"
T022,"Detergent,Dish_Soap,Light_Bulbs"
T023,"Shampoo,Toothpaste"
T024,"Trash_Bags,Batteries"
T025,"Light_Bulbs,Batteries,Toothpaste,Trash_Bags"
