TransactionID,Items
T001,"Milk,Bread,Eggs"
T002,"Butter,Cheese,Milk,Pepper,Chicken,Beef"
T003,"Cereal,Milk,Coffee,Tea"
T004,"Coffee,Sugar,Flour"
T005,"Tea,Sugar"
T006,"Flour,Sugar,Eggs,Chicken,Beef"
T007,"Rice,Chicken,Milk,Bread"
T008,"Pasta,Tomato_Sauce,Olive_Oil,Coffee,Tea"
T009,"Bread,Butter,Eggs"
T010,"Chicken,Beef,Salt,Pepper"
T011,"Milk,Bread,Eggs,Cheese,Cereal"
T012,"Butter,Cheese,Milk"
T013,"Cereal,Milk,Beef"
T014,"Coffee,Sugar,Pepper"
T015,"Tea,Sugar,Rice,Pasta"
T016,"Flour,Sugar,Eggs,Olive_Oil"
T017,"Rice,Chicken,Butter"
T018,"Pasta,Tomato_Sauce,Olive_Oil,Milk,Bread"
T019,"Bread,Butter,Eggs"
T020,"Chicken,Beef,Salt,Pepper,Cereal,Coffee,Tea"
T021,"Milk,Bread,Eggs,Chicken,Beef"
T022,"Butter,Cheese,Milk,Eggs"
T023,"Cereal,Milk"
T024,"Coffee,Sugar,Beef,Milk,Bread"
T025,"Tea,Sugar,Flour"
